name,booth,type,description,url,address,categories,email,phone,linkedin,twitter
12Port Inc,ESE-11,Early Stage Expo,"12Port delivers agentless Privileged Access Management that locks down credentials and brokers access without credential exposure across users, automation and applications. Protect access, secure accounts, monitor and contain threats, enforce zero trust and prove compliance—without added complexity.",https://www.12port.com,256 Eagleview Blvd STE 259 Exton PA 19341 USA,Identity and Access Management (IAM); Privileged Access Management (PAM); Identity Governance and Administration,,,https://www.linkedin.com/company/12port,https://x.com/twelveport
1Password,S-0834,Exhibitor,"Trusted by over 175,000 businesses and millions of consumers, 1Password is reimagining identity security for SaaS-forward and AI-powered organizations, delivering a suite of solutions that enable business agility.",www.1password.com,4711 Yonge St. 10th Floor Toronto ON M2N 6K8 Canada,Identity and Access Management (IAM); Identity Governance and Administration (IGA); Single Sign-On (SSO); Privileged Access Management (PAM); Password Managers; Authentication; Consumer Identity; Identity Governance and Administration; Privileged Management; Security for AI,,,https://www.linkedin.com/company/1password/,https://x.com/1Password
A-LIGN,S-3117,Bronze,"A-LIGN is the leading cybersecurity compliance partner, trusted by over 5,700 organizations worldwide to navigate the complexities of compliance, audit, and risk. A-LIGN delivers high-quality, efficient audits across frameworks including SOC 2, ISO 27001, FedRAMP, CMMC, ISO 42001, PCI, and HITRUST.",https://a-lign.com/,400 N. Ashley Drive Suite 1325 Tampa FL 33602 USA,"Security Testing and Red Teaming; Governance, Risk, and Compliance (GRC)",,,https://www.linkedin.com/company/a-lign/,https://x.com/AlignCompliance
A2SECURE I RISKBLADE,S-0642,International Pavilion - Spain,"A2SECURE is an MSSP, a cybersecurity pure player that acts as a strategic partner for organisations operating in highly regulated sectors. Riskblade is the TPRM solution that guarantees real control over the digital supply chain and compliance.",http://www.a2secure.com,Avenida FRANCESC CAMBO 2110º 08003 Barcelona Spain,Anomaly Detection; Indicators of Compromise (IOC) Management; Threat Detection and Intelligence; Supply Chain Security,,,https://es.linkedin.com/company/a2secure,
AAEON,N-5165,Exhibitor,AAEON is a leading developer of hardware and intelligent automated services for premier OEM/ODMs and system integrators worldwide. AAEON also offers customized end-to-end services from initial product conceptualization and product development.,www.aaeon.com,324 W. Blueridge Ave Orange CA 92865 USA,"OT, Physical and IoT Security",,,https://www.linkedin.com/company/aaeon,https://x.com/AAEON
Absolute Security,S-2039,Exhibitor,"We Stop Downtime
Absolute Security is the only provider of self-healing, intelligent security solutions that empower enterprises, governments, educational institutions, and more to stay resilient in the face of growing and evolving cyber threats.",https://www.absolute.com/,520 Pike Street Suite 2100 Seattle WA 98101 USA,Endpoint Detection & Response; Endpoint Security; Endpoint Detection and Response (EDR); Endpoint Protection Platform (EPP); Network Security,,,http://www.linkedin.com/company/absolute-software,
AbuseIPDB,ESE-35,Early Stage Expo,"AbuseIPDB delivers real-time IP threat intelligence and reputation data on malicious infrastructure. With a powerful API, on-premises threat feeds, and hundreds of integrations for SOC/SIEM/SOAR and more, security teams can easily automate enrichments and take proactive actions to block threats.",https://www.abuseipdb.com/,562 Independence Road Suite 205 East Stroudsburg PA 18301 USA,,,,,
Acalvio Technologies,S-2139,Exhibitor,"Acalvio is the leader in autonomous cyber deception, defending against security threats, including APTs, insider threats, and ransomware. Its AI-powered Preemptive Cybersecurity Platform delivers threat detection across IT, OT and cloud environments.",www.acalvio.com,2520 Mission College Blvd. Suite 110 Santa Clara CA 94054 USA,"Deception Technologies; OT, Physical and IoT Security; Security Operations",,,https://www.linkedin.com/company/acalvio-technologies/,https://x.com/acalviotech
Accedere,N-4604,Exhibitor,"Accedere is a is presenting its GRC Compliance tool namely Controllo.ai . Controllo is an AI powered SaaS solution that closes faster for compliance obligations such as SOC 2, ISO 27001, HIPAA, PCI DSS, CMMC, FedRamp, Privacy etc mandates,",https://controllo.ai,999 18th Street #3000 Denver CO 80202 USA,"Privacy; Governance, Risk, and Compliance (GRC)",,,https://www.linkedin.com/company/31540738/admin/dashboard/,
AccuKnox,N-5154,Exhibitor,"<b><font color=""#a6ce39"">First-Time Exhibitor</font></b><br>Secure All Assets - AI, Cloud, APIs, Data, Applications & SBOM<br>Secure them Everywhere - Public, Private, Hybrid Cloud, Air-Gapped, Edge/IoT",https://www.accuknox.com/,333 Ravenswood Menlo Park CA 94025 USA,Cloud Security; Cloud Security Posture Management (CSPM); Cloud Infrastructure Entitlement Management (CIEM); CASB; Governance and Compliance; Cloud Workload Protection Platform (CWPP); Cloud Access Security Broker (CASB); Cloud Infrastructure; Virtualization / Containerization / Segmentation; Cloud Data Security; Container and Kubernetes Security; SaaS Security Posture Management (SSPM); Serverless Security; Security for AI,,,https://www.linkedin.com/company/accuknox/,https://x.com/Accuknox
Act Security,"ESE-60, MRS-306",Early Stage Expo,"Enterprises struggle to enforce least-privilege access - because ""what can talk to what"" is impossible to answer, and siloed identity and network controls leave the door open for attackers. Act Security safely untangles the access spaghetti by logically segmenting applications using native controls.",https://act.security/,50 N 5th St Brooklyn NY 11249 USA,"Cloud Security; ESE-60, MRS-306",,202-256-4211,https://www.linkedin.com/company/act-sec,
Action1,S-0454,Exhibitor,"Action1 is an autonomous endpoint management platform trusted by many Fortune 500 companies. Cloud-native, infinitely scalable, highly secure, and configurable in 5 minutes—it just works and is free for the first 200 endpoints, with no limits.",www.action1.com,2929 Allen Parkway Suite 200 Houston TX 77019 USA,Application Security; Endpoint Security,,,https://www.linkedin.com/company/action1/,https://x.com/Action1corp
ActiveState,S-0259,Exhibitor,"<b><font color=""#a6ce39""> First Time Exhibitor</font></b><br>ActiveState enables DevSecOps teams to improve their security posture while increasing productivity to deliver secure applications faster. Your one stop for secure, trusted, open source.",www.activestate.com/,666 Burrard Street Suite 500 Vancouver BC V6C 3P6 Canada,Application Security; Application Security Posture Management (ASPM); Container Security; Supply Chain Security,,617-610-6267,https://www.linkedin.com/company/activestate,https://x.com/ActiveState
AD Consulting SPA,S-1951,International Pavilion - Italian Trade Agency,"AD Consulting is an IT consulting company on digital transformation, delivering tailored cloud, cybersecurity,  and advisory solutions. Defenix by AD provides centralized IT/OT visibility, real-time monitoring, threat detection, actionable insights.",www.adcgroup.com,"Via Pier Paolo Pasolini, 15 41123 Modena Italy","Cloud Security; Cloud Infrastructure Entitlement Management (CIEM); Governance and Compliance; Cloud Data Security; OT, Physical and IoT Security",,,https://www.linkedin.com/company/2304882/one-rsac/,
Adaptiva,S-0734,Exhibitor,"Adaptiva is the autonomous endpoint management company delivering the fastest, most scalable way to patch and manage devices. Enterprises rely on Adaptiva to boost IT efficiency, reduce endpoint security risk, and maximize patching velocity.",www.adaptiva.com,4010 Lake Washington Blvd Suite 200 Kirkland WA 98033 USA,Endpoint Security; Endpoint Protection Platform (EPP),,,https://www.linkedin.com/company/adaptiva,https://x.com/adaptiva
Adaptive Security,"S-2433, MRS-204, MRS-202",Exhibitor,"<b><font color=""#a6ce39""> First Time Exhibitor</font></b><br>Adaptive Security is a next-gen cybersecurity platform protecting organizations from AI-powered threats through advanced training and phishing simulations, helping companies defend against deepfakes, GenAI phishing, and other emerging attacks.",https://www.adaptivesecurity.com/,902 Broadway 8th Floor New York NY 07758 USA,Human Risk and Awareness; Security for AI,,,https://www.linkedin.com/company/adaptivesecurity,https://x.com/AdaptiveSec
Aembit,S-2251,Exhibitor,Aembit is the IAM platform for agentic AI and workloads. It brings modern auth to non-human identities—enforcing identity- and context-based access via centralized policies to eliminate static credentials and reduce agent risk.,https://aembit.io/,12018 Auth Ln Silver Spring MD 20902 USA,Identity and Access Management (IAM); Multi-Factor Authentication (MFA); IDaas; Identity Federation; Security for AI,,,https://www.linkedin.com/company/aembit,
AEWIN TECH INC.,N-4505,Exhibitor,"AEWIN is an industry-leading ODM/OEM designer and manufacturer of off-the-shelf (OTS) network appliances and storage servers. AEWIN can provide flexible design and customization options for NGFW, UTM, ADC, edge computing, cloud, edge AI, and storage.",www.aewin.com,780 Montague Expressway #207 San Jose CA 95131 USA,"OT, Physical and IoT Security",,,https://www.linkedin.com/company/aewin-usa,https://x.com/IPC_aewin?lang=en
Agile Momentum,S-1945,International Pavilion - Singapore,"AgileMark delivers human behavioral risk deterrence. Starting where traditional DLP stops, phone camera snapping of screens. We now turn behavioral risk signals into targeted, bite-size interventions that correct risky behavior.",https://www.agilemark.io/,8 Scotts Road #29-11 Singapore 228238 Singapore,Data Security; Data Loss Prevention (DLP); Data Centric Security; Human Risk and Awareness,,,https://www.linkedin.com/company/agile-mark/,
AhnLab,S-2127,Bronze,"Founded in 1995, AhnLab is a global cybersecurity leader providing comprehensive protection for endpoints, networks, and cloud environments. With advanced threat prevention and exceptional service, AhnLab secures over 25,000 organizations worldwide from evolving cyber threats.",www.ahnlab.com/en,"220 Pangyoyeok-ro Bundang-gu, Seongnam-si Gyeonggi-do South Korea","Threat Intelligence Platforms; Threat Intelligence Feeds; Endpoint Detection & Response; Endpoint Protection; Threat Hunting; Threat Intelligence Platform; Endpoint Security; Endpoint Detection and Response (EDR); Extended Detection and Response (XDR); Endpoint Protection Platform (EPP); Managed Detection and Response (MDR); OT, Physical and IoT Security; Threat Detection and Intelligence",,,https://www.linkedin.com/company/ahnlab-inc./,https://x.com/AhnLabGlobal
AIBound,ESE-43,Early Stage Expo,"AIBound is the unified AI security platform that discovers, tests, and protects every model, agent, and AI identity so enterprises can safely scale AI in production.",www.aibound.com,1490 E. Federal Heights Dr. Salt Lake City UT 84103 USA,Security for AI,,801-554-8447,https://www.linkedin.com/company/aibound/,
AIC,N-4305,Exhibitor,"AIC is a global leader in the design and manufacturing of high-performance server and storage solutions. With nearly 30 years of expertise, AIC is renowned for its high-density storage servers, storage server barebones, and Al storage solutions.",www.aicipc.com,21808 Garcia Lane City of Industry CA 91789 USA,,,,https://www.linkedin.com/company/aicinc,
Aikido Security,N-5379,Exhibitor,"Aikido is the no-nonsense security platform for developers. From code to cloud, we centralize scans, cut false positives, and automate fixes. Aikido streamlines security, speeds compliance, and helps teams scale. Automate security, don’t suffer it.",www.aikido.dev,Coupure Rechts 88 9000 Gent Belgium,Application Security; Cloud Security; API Security; Cloud Security Posture Management (CSPM); CASB; AI Remediation; Application Security Posture Management (ASPM); Developer Security Training; Dynamic Application Security Testing (DAST); Secrets Management; Software Composition Analysis (SCA); Static Application Security Testing (SAST); Container and Kubernetes Security,,,https://www.linkedin.com/company/aikido-security/,https://x.com/AikidoSecurity
Aikido Security,S-0960,Exhibitor,"Aikido is the no-nonsense security platform for developers. From code to cloud, we centralize scans, cut false positives, and automate fixes. Aikido streamlines security, speeds compliance, and helps teams scale. Automate security, don’t suffer it.",www.aikido.dev,Coupure Rechts 88 9000 Gent Belgium,Application Security; Cloud Security; API Security; Cloud Security Posture Management (CSPM); CASB; AI Remediation; Application Security Posture Management (ASPM); Developer Security Training; Dynamic Application Security Testing (DAST); Secrets Management; Software Composition Analysis (SCA); Static Application Security Testing (SAST); Container and Kubernetes Security,,,https://www.linkedin.com/company/aikido-security/,https://x.com/AikidoSecurity
AIONCLOUD,N-5377,Exhibitor,"AIONCLOUD is MONITORAPP’s comprehensive SECaaS platform.
Leveraging a global edge infrastructure, AIONCLOUD delivers subscription-based solutions, from network to endpoint, including WAAP, WSPC, SWG, CASB, RBI, ZTNA, EDR, etc.",https://www.aioncloud.com/,"#1008, 306, Digital-ro Guro-gu 8378 Seoul South Korea",Application Security; API Security; Web Application Firewalls (WAF); Network Security,,,https://www.linkedin.com/company/monitorapp-co-ltd-/,
Airia,N-4628,Exhibitor,"<b><font color=""#a6ce39""> First Time Exhibitor</font></b><br>Airia eliminates AI anxiety and accelerates adoption. We address the critical gap between agentic innovation and governance—empowering teams to build and deploy AI agents while maintaining control.",airia.com,756 W Peachtree ST NW 4th Floor Atlanta GA 30308 USA,Threat Intelligence Feeds; Threat Hunting; Threat Hunting Tools; Security for AI; Threat Detection and Intelligence,,,,
AirMDR,N-6188,Exhibitor,"<b><font color=""#a6ce39""> First Time Exhibitor</font></b><br>AirMDR offers an AI SOC platform (i.e., AI SOC Agent) and AI MDR service. Both combine agentic AI with human expertise to deliver minutes-fast alert investigations and transparent, audit-ready cases using the security stack customers already have.",www.airmdr.com,320 Lennox Menlo Park CA 94025 USA,"Security Orchestration, Automation, and Response (SOAR); Security Incident Response; Threat Hunting Tools; Security Operations; Threat Detection and Intelligence",,,https://www.linkedin.com/company/airmdr/posts/?feedView=all,
AiStrike,S-3109,Exhibitor,"AiStrike is an Agentic AI platform that unifies threat exposure, detection engineering, investigation, and response—automating and improving the full security operations lifecycle to proactively stop threats.",http://aistrike.com/,4205 Maymont Court Dublin CA 94568 USA,"Security Information and Event Management (SIEM); Security Orchestration, Automation, and Response (SOAR); Incident Response Platforms; Security Analytics; Security Incident Response; SIEM / SOAR; Security Operations",,,https://www.linkedin.com/company/aistrike/?viewAsMember=true,
AIVESP,S-1951,International Pavilion - Italian Trade Agency,"AIVESP is the company behind Olivia, delivering AI-driven consulting solutions to optimize industrial processes, enhance operational efficiency, and enable advanced forecasting capabilities.",http://consulting.olivia-software.com/,PIAZZA DEL PLEBISCITO 55 30100 Ancona Italy,Systems Integrator/Consulting Firm,,,,
Akamai,"N-6245, MRN-620",Gold,Akamai is the cybersecurity and cloud computing company that powers and protects business online. Akamai Security provides market-leading solutions to secure your applications and networks using real-time intelligence and adaptive AI.,www.akamai.com,145 Broadway Cambridge MA 02142 USA,Application Security; Cloud Security; Data Security; Threat Detection and Intelligence,,,https://www.linkedin.com/company/akamai-technologies,https://twitter.com/Akamai
Akto,N-4304,Exhibitor,"Akto is the Agentic AI Security platform for your teams to secure AI agents, MCPs, and LLMs in your organization. Akto helps in Discovery, Governance, red teaming, monitoring, and enforcing guardrails on Agentic AI assets.",www.akto.io,95 Third Street 2nd Floor San Francisco CA 94103 USA,Application Security; API Security; Security for AI,,,https://www.linkedin.com/company/79512143,https://x.com/Aktodotio
AlgoSec,S-1649,Exhibitor,"AlgoSec empowers 2,200+ global orgs to accelerate app delivery 10x faster with AI-driven automation, visibility, and security across hybrid networks. Learn more at www.algosec.com",www.algosec.com,65 Challenger Road Suite 310 Ridgefield Park NJ 07660 USA,Application Security; Network Security,,,https://www.linkedin.com/company/algosec/posts/?feedView=all,https://x.com/AlgoSec/status/1725179225965998361
